brand_string,brand_id,symbol_id,url,preprocessed_index
BRACHS,30338,11942,https://www.amazon.com/Brachs-Caramel-Apple-Candy-Ounce/dp/B08KFLXTLY,27894
CHUCKLES,30338,11942,https://www.amazon.com/Chuckles-170856-Pack-of-24/dp/B000NKFX86,15924
FARLEYS,30338,11942,https://www.amazon.com/dp/B0055KVH1Q,2924
FERRARA,30338,11942,https://www.amazon.com/ATOMIC-FireBall-Jawbreaker-Candy-POUND/dp/B008OKPKVC,6494
FERRARA PAN,30338,11942,https://www.amazon.com/Laffy-Taffy-Assorted-Mini-Ounce/dp/B004Z6K67W,6497
FRUIT STRIPE,30338,11942,https://www.amazon.com/dp/B004D7K17S,19369
FUNABLES,30338,11942,https://www.amazon.com/Funables-Tic-Tac-Toe-Fruit-Snacks-18ct/dp/B08WRMB63Z,20841
GIMBALS,30338,11942,https://www.amazon.com/dp/B08WHYQLMN,8385
GOBSTOPPER,30338,11942,https://www.amazon.com/dp/B01NAST5JI,11915
HEIDE,30338,11942,https://www.amazon.com/Heide-Fruits-candy-pounds-JUJYFRUITS/dp/B01FFOHICS,8973
JAW BUSTERS,30338,11942,https://www.amazon.com/dp/B01B6R32B4,2758
JELLY BELLY,30338,11942,https://www.amazon.com/Jelly-Belly-Beans-3-1oz-Snapple/dp/B005I4K40O,4105
JUJUBES,30338,11942,https://www.amazon.com/dp/B0758332MJ,12279
JUJYFRUITS,30338,11942,https://www.amazon.com/Jujyfruits-Gummy-Candy-Ounce-Pack/dp/B00S5M3052,12293
LAFFY TAFFY,30338,11942,https://www.amazon.com/dp/B08BT1NVZY,1606
LEMONHEAD,30338,11942,https://www.amazon.com/Lemonhead-2-35-Ounce-24-Pack/dp/B00M97JX96,8582
LIK M AID,30338,11942,https://www.amazon.com/dp/B06W2LJJQS,13050
LIK M AID FUN DIP,30338,11942,https://www.amazon.com/LIK-M-AID-Fun-Dip-24-Count/dp/B07NFHB98R,13051
NERDS,30338,11942,https://www.amazon.com/dp/B0BXPYDW3F,5495
NIPS,30338,11942,https://www.amazon.com/dp/B000V9EIEY,9438
NOBRAND,30338,11942,https://www.amazon.com/Cosplay-Cowboy-Holster-Masquerade-Vintage/dp/B07ZZ8VDZV,10812
NORTHERN LIGHTS,30338,11942,https://www.amazon.com/Northern-Lights-Rattle-Reel-Orange/dp/B074Q3V31P,12221
PIXY STIX,30338,11942,https://www.amazon.com/Wonka-Pixy-Stix-3-2-Ounce/dp/B01K4OJY1C,13937
RAINBLO,30338,11942,https://www.amazon.com/Rain-blo-Bubble-Balls-Ounce-Tube/dp/B000UU8KA2,1185
RED HOTS,30338,11942,https://www.amazon.com/dp/B073D2WTYZ,4848
RUNTS,30338,11942,https://www.amazon.com/dp/B0045V5L9K/,18405
SATHERS,30338,11942,https://www.amazon.com/Sathers-Brachs-Butterscotch-Discs-Candy/dp/B06Y1KPLC8,5018
SPREE,30338,11942,https://www.amazon.com/Wonka-Chewy-Spree-Candy-12oz/dp/B00BK7LBI2,33919
STRETCH ISLAND,30338,11942,https://www.amazon.com/dp/B00KPTKIPS,39620
SUPER BUBBLE,30338,11942,https://www.amazon.com/Super-Bubble-Gum-Assorted-Ounce/dp/B0007SVCRK,44020
SWEETARTS,30338,11942,https://www.amazon.com/dp/B07NMK21W4,47103
TROLLI,30338,11942,https://www.amazon.com/dp/B0CWVXCFM5,26868
WONKA,30338,11942,https://www.amazon.com/Wonka-Bottle-Caps-Candy-Pack/dp/B00CFU7FTC,13422
TITOS,30437,11943,https://www.amazon.com/Titos-Handmade-Vodka-Bandana-Black/dp/B01LX8P559,18183
BABYBEL,30533,11944,https://www.amazon.com/Mini-Babybel-Original-Cheese-Ounce/dp/B01CN94BH8,925
BOURSIN,30533,11944,https://www.amazon.com/Front-Headlamp-NPR-HD-2008-2019-Driver/dp/B08BTXYRD3,27027
KAUKAUNA,30533,11944,https://www.amazon.com/-/es/kaukauna-cubeta-Oporto-propagaci%C3%B3n-10-Libra/dp/B073HZZMNG,3452
MERKTS,30533,11944,https://www.amazon.com/Merkts-Sharp-Cheddar-Cheese-Spread/dp/B073HYLZJ8,14655
MINI BABYBEL,30533,11944,https://www.amazon.com/Mini-Babybel-Original-Cheese-Ounce/dp/B01CN94B3W,19786
